Europawahl 2024;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;Christlich Demokratische Union Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;Sozialdemokratische Partei Deutschlands;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;DIE LINKE;;Freie Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Ökologisch-Demokratische Partei, Die Naturschutzpartei;;Familien-Partei Deutschlands;;Volt Deutschland;;Piratenpartei Deutschland;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;Die Heimat;;Aktion Partei für Tierschutz;;Partei für schulmedizinische Verjüngungsforschung;;Bündnis für Innovation & Gerechtigkeit;;Bündnis C - Christen für Deutschland;;Partei der Humanisten;;Menschliche Welt, für das Wohl und Glücklichsein aller;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Bürger für Gerechtigkeit;;Basisdemokratische Partei Deutschland;;BÜNDNIS DEUTSCHLAND;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;Demokratische Allianz für Vielfalt und Aufbruch;;Klimaliste Deutschland;;Parlament aufmischen – Stimme der Letzten Generation;;Partei der Vernunft;;Partei des Fortschritts;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;Übrige;;
06435;Main-Kinzig-Kreis;06;301947;299123;185604;168204;1636;1925;183968;166279;57373;43758;19027;34729;29277;29727;30930;20729;;;3390;6203;10515;10275;3289;3758;3848;3174;3333;3048;748;1319;895;962;4224;884;821;1143;560;468;168;462;937;487;74;311;229;484;257;229;365;290;211;181;107;96;27;51;22;30;179;;397;;755;;8702;;1267;;132;;298;;135;;1152;;324;;;3481;
06436;Main-Taunus-Kreis;06;167632;165816;113386;106307;724;826;112662;105481;39005;31652;16129;26299;15051;15227;11791;9479;;;2070;3408;9798;8485;1737;2199;2017;1641;1533;1420;437;616;390;455;3728;864;462;582;407;332;76;115;351;236;49;99;170;301;126;113;246;195;103;83;23;28;26;17;15;11;48;;333;;566;;4131;;565;;84;;208;;89;;733;;165;;;1624;
06437;Odenwaldkreis;06;70886;70869;44143;39925;517;598;43626;39327;13644;10485;3896;6970;8243;8636;7168;4560;;;834;1717;2404;2536;671;773;1003;540;764;712;154;251;225;249;719;211;179;203;85;105;44;82;244;107;30;81;27;56;91;111;52;48;65;62;30;27;11;13;9;9;30;;164;;157;;2028;;175;;35;;87;;49;;237;;72;;;783;
06438;Offenbach;06;241973;238715;153246;142756;1268;1431;151978;141325;49312;39264;19794;34684;22252;21128;19070;14225;;;3002;5217;10510;10089;2683;3224;2860;2725;2895;2206;578;940;643;711;4262;891;717;947;771;436;113;196;685;333;96;225;285;559;215;159;304;224;170;132;52;47;25;28;27;15;94;;356;;511;;6703;;1264;;144;;296;;116;;899;;274;;;2720;
06439;Rheingau-Taunus-Kreis;06;140068;138642;93638;89677;721;930;92917;88747;30783;26210;12105;20487;14130;15184;11764;8663;;;1608;2926;7576;6245;1673;1868;1639;1308;1365;1360;367;426;335;419;2803;579;361;524;165;222;61;103;341;237;44;102;77;70;130;135;209;175;73;72;14;23;11;16;18;10;42;;252;;386;;3344;;196;;60;;155;;74;;561;;195;;;1383;
06440;Wetteraukreis;06;230160;225720;148420;131970;1262;1423;147158;130547;46520;35201;17943;30002;22629;22655;21343;13745;;;2511;4621;9510;8570;2862;2988;4042;2779;2393;2190;574;822;642;671;3743;743;646;876;410;386;248;631;649;356;75;215;154;183;224;202;298;202;153;113;42;45;16;17;20;17;86;;369;;647;;6251;;499;;117;;299;;99;;872;;272;;;2317;
06531;Gießen;06;202688;200804;128980;115449;1060;1061;127920;114388;35545;26628;16570;28522;21675;21074;17130;11064;;;3939;5780;6294;6068;2880;3910;3382;2665;2216;1689;783;1071;468;442;5200;778;558;673;532;482;94;231;476;260;54;170;87;167;471;310;393;340;110;107;124;103;30;63;18;21;79;;253;;453;;6027;;512;;131;;341;;97;;740;;258;;;1770;
06532;Lahn-Dill-Kreis;06;190233;189854;112687;99745;1143;1108;111544;98637;36911;28512;8981;17594;19558;19965;20480;11847;;;1755;3400;5326;5420;2145;2329;2346;2062;1597;1500;639;969;450;547;1721;424;379;513;201;202;243;343;418;245;42;135;76;215;609;486;177;128;125;94;47;49;27;31;29;11;70;;282;;512;;4637;;769;;69;;140;;67;;573;;143;;;1616;
06533;Limburg-Weilburg;06;131360;128963;80415;71311;832;781;79583;70530;29182;22646;7024;12937;11855;13003;12912;7821;;;1208;2140;4476;4514;1113;1385;1720;1430;1236;1233;260;302;350;378;2158;309;288;319;147;114;45;139;330;179;47;134;66;78;99;110;131;91;62;53;17;31;4;14;8;10;53;;221;;334;;3186;;267;;55;;104;;62;;449;;114;;;1160;
06534;Marburg-Biedenkopf;06;184257;183183;119314;104228;744;689;118570;103539;34041;25203;15778;24425;21281;20696;16587;9621;;;4127;6119;5733;5267;2334;2998;2080;1365;1850;1484;535;956;492;487;3800;809;505;634;428;515;72;142;478;193;68;114;86;119;369;271;304;292;91;115;68;60;21;26;20;20;67;;241;;423;;4767;;442;;286;;366;;71;;554;;205;;;1608;
06535;Vogelsbergkreis;06;84322;84549;52076;47658;489;647;51587;47011;17326;13725;3888;7797;8747;9893;9536;5823;;;894;1658;2476;2904;811;805;1885;1182;695;690;162;399;270;261;782;142;163;193;76;72;71;166;215;141;18;84;28;19;112;83;95;44;42;53;22;12;6;9;4;8;59;;136;;197;;2306;;61;;46;;94;;32;;254;;78;;;848;
06611;Kassel, documenta-Stadt;06;137802;140438;83098;77652;600;663;82498;76989;16850;13392;16258;23726;14761;14867;8520;5747;;;4990;6189;3591;3523;2128;2773;857;821;1485;1046;410;616;232;248;3113;643;354;651;488;459;37;90;302;157;49;77;70;188;142;139;190;165;99;83;88;55;72;68;15;11;30;;206;;262;;4782;;800;;113;;603;;43;;416;;142;;;1255;
06631;Fulda;06;171921;169880;109572;97074;759;1004;108813;96070;45164;36798;8139;16882;10671;10911;19985;12312;;;1404;2896;5649;6246;1624;2045;2788;1620;1197;1208;463;853;530;589;3083;405;331;459;197;174;97;238;327;216;49;153;40;48;395;227;156;139;100;87;16;19;20;10;9;11;133;;219;;502;;4402;;205;;51;;146;;76;;504;;141;;;1524;
06632;Hersfeld-Rotenburg;06;92765;93123;56660;51375;527;671;56133;50704;17664;13211;3331;7649;12006;13717;10630;6717;;;821;1786;2445;2670;797;816;1749;959;767;666;170;253;285;285;1005;150;168;249;73;66;63;194;253;156;25;77;34;25;181;182;52;34;70;40;11;7;12;8;10;5;51;;105;;225;;2646;;65;;26;;60;;42;;249;;42;;;782;
06633;Kassel;06;188801;188527;119418;106538;1394;1478;118024;105060;34269;24050;11492;21314;29022;30061;16984;10021;;;2408;4214;4996;5346;1746;1812;2399;1732;2004;1586;386;376;607;568;1769;418;399;563;170;186;105;148;609;310;53;148;77;78;145;131;163;118;110;93;31;17;25;46;31;18;95;;283;;385;;5702;;403;;91;;233;;67;;592;;173;;;1706;
06634;Schwalm-Eder-Kreis;06;142536;142375;91728;79752;1111;1114;90617;78638;26085;18398;7524;14746;19828;20751;16136;8703;;;1502;2550;4453;4574;1314;1490;3872;2511;1397;1182;250;268;447;440;964;252;318;427;101;105;106;182;467;225;43;146;26;36;154;171;123;83;88;64;25;29;17;14;19;17;75;;168;;334;;3890;;158;;51;;123;;57;;408;;94;;;1274;
06635;Waldeck-Frankenberg;06;123025;122990;75128;64235;600;627;74528;63608;25870;18496;6178;12282;13734;13981;12701;6481;;;1097;2063;4177;4287;1049;1031;2004;1188;969;898;227;266;351;348;745;199;215;293;88;114;62;130;345;156;28;91;33;30;144;124;94;80;57;51;28;29;4;10;8;7;53;;160;;228;;3224;;116;;40;;103;;43;;259;;94;;;973;
06636;Werra-Meißner-Kreis;06;79878;80896;49366;45003;559;656;48807;44347;14445;11238;4173;7787;10580;11663;7858;4720;;;1268;1853;2194;2272;813;800;1867;1241;710;635;132;240;215;217;606;155;143;173;84;116;53;77;245;116;26;70;18;11;107;55;71;50;42;38;34;29;10;13;8;13;37;;103;;161;;2356;;25;;29;;118;;30;;183;;63;;;765;
06;Hessen;99;4452122;4412068;2807209;2578688;22452;25535;2784757;2553153;834661;657886;358679;598460;455637;469417;378889;252794;;;70305;111582;176035;164386;51515;64272;56313;42841;42738;38100;11040;16974;11011;11920;90925;18435;11743;16431;11273;9653;2283;4844;11323;6173;1345;3680;3942;6902;5510;4898;6076;4831;2642;2262;1319;1236;677;852;456;382;1882;;6720;;10633;;123505;;14472;;2717;;6735;;1857;;15294;;4605;;;43942;
;
07111;Koblenz, kreisfreie Stadt;07;80740;83969;51839;51017;363;542;51476;50475;14734;14599;7648;12104;8606;9024;5263;3736;;;1462;1997;3471;2842;1304;1793;1865;1261;684;535;313;295;226;195;1859;417;257;356;156;185;25;35;167;79;25;41;44;31;49;52;132;112;72;39;10;7;8;11;6;12;15;;118;;165;;2012;;99;;48;;164;;34;;329;;106;;;717;
07131;Ahrweiler;07;100522;101203;67405;66724;651;883;66754;65841;25533;24456;6791;11930;9311;10771;7035;5224;;;945;1709;4651;4508;1076;1160;3328;1885;1039;889;411;428;435;343;1295;341;264;350;136;130;42;109;341;150;36;71;52;89;64;52;109;78;86;37;12;13;14;8;11;7;31;;130;;218;;2644;;115;;43;;106;;33;;356;;61;;;1103;
07132;Altenkirchen (Westerwald);07;100932;100084;64769;60892;691;954;64078;59938;22869;21118;4039;8148;11140;13102;10272;5820;;;1053;1853;3561;3693;1035;924;2028;1310;952;863;217;335;477;448;889;168;216;286;104;95;46;100;313;183;18;54;21;39;302;259;83;69;86;43;24;21;14;17;12;9;41;;120;;225;;3169;;168;;34;;90;;64;;319;;77;;;981;
07133;Bad Kreuznach;07;120969;120062;78056;76655;1194;1389;76862;75266;22843;22504;6362;11872;15372;17855;11544;7705;;;1273;2336;5289;4827;1177;1185;2897;1823;1168;1224;375;417;580;510;1253;329;351;410;112;137;41;102;369;223;31;110;36;83;160;118;136;92;104;61;24;24;6;9;9;10;60;;159;;242;;3878;;218;;79;;152;;61;;394;;107;;;1300;
07134;Birkenfeld;07;62812;63925;38536;37437;585;846;37951;36591;10749;11168;1905;4237;8130;9765;7077;3964;;;603;1169;2238;2421;587;579;2235;745;602;602;105;157;309;285;333;120;155;216;40;49;49;73;238;140;15;68;11;7;44;37;49;35;60;34;8;10;4;5;3;11;27;;65;;142;;1860;;15;;23;;61;;30;;131;;48;;;694;
07135;Cochem-Zell;07;48857;48692;33826;33505;481;784;33345;32721;14076;13925;1950;4131;5162;6153;4193;2504;;;397;717;2012;2108;526;516;1692;769;432;435;106;146;210;223;390;122;123;154;30;32;22;47;149;73;11;46;11;7;41;44;37;28;43;28;4;7;2;4;1;3;21;;59;;118;;1265;;14;;19;;32;;17;;145;;35;;;499;
07137;Mayen-Koblenz;07;166958;166494;107754;103595;1221;1666;106533;101929;37392;36737;8582;16503;18175;20891;14259;8675;;;1479;2578;6364;5955;1772;2035;6152;2598;1455;1400;427;441;677;554;1674;414;476;587;146;156;54;124;489;218;47;95;61;66;158;149;161;101;141;68;23;15;18;9;9;9;55;;181;;341;;4523;;224;;97;;158;;66;;557;;140;;;1551;
07138;Neuwied;07;140932;138233;89734;85529;1014;1172;88720;84357;29553;27819;7548;14067;14966;17879;13176;7703;;;1441;2604;5076;5113;1456;1527;3658;2054;1278;1302;297;329;612;519;1522;402;417;448;156;148;65;119;419;225;34;108;57;80;353;250;131;106;145;63;12;13;15;9;6;4;41;;181;;336;;4679;;209;;52;;144;;65;;528;;92;;;1466;
07140;Rhein-Hunsrück-Kreis;07;81358;80638;55947;54996;765;1040;55182;53956;18628;18684;3839;7526;9408;11858;8113;4763;;;844;1553;3489;3751;811;909;3057;1475;709;804;424;342;397;294;958;196;217;306;79;83;46;70;266;133;21;75;27;31;99;100;84;70;81;58;5;9;8;9;6;3;28;;121;;215;;2648;;62;;31;;73;;32;;285;;71;;;854;
07141;Rhein-Lahn-Kreis;07;95969;94896;62418;62471;846;1132;61572;61339;18589;17516;4889;9513;12618;15515;8774;5778;;;1016;1792;3344;3608;1055;1301;3406;2249;1015;1008;271;226;457;445;1113;221;283;332;91;118;49;113;296;179;28;94;38;33;119;65;75;75;97;57;6;17;9;11;8;5;46;;171;;273;;2692;;135;;29;;100;;68;;325;;87;;;1068;
07143;Westerwaldkreis;07;157795;154465;106123;100878;1409;1719;104714;99159;39036;36475;7693;14422;16378;18474;15609;9443;;;1584;2837;5878;6458;1909;1770;4316;2899;1461;1540;296;434;826;636;1452;353;406;525;120;139;83;166;454;296;41;122;61;118;246;201;142;101;144;68;19;17;13;16;14;4;64;;200;;457;;4517;;306;;50;;161;;96;;582;;100;;;1645;
07211;Trier, kreisfreie Stadt;07;78200;80431;48568;48513;477;495;48091;48018;11311;11402;7444;12327;10078;10828;4634;3223;;;1580;2432;2874;2416;1394;1756;1409;517;699;590;292;325;210;143;2190;386;253;319;183;229;10;48;169;79;20;37;27;30;50;38;151;155;57;31;46;36;9;11;8;8;23;;80;;133;;2051;;62;;61;;188;;20;;287;;88;;;652;
07231;Bernkastel-Wittlich;07;85771;86098;58381;56022;853;1166;57528;54856;20532;20367;3746;7377;9536;11559;7014;4197;;;734;1522;3667;3691;829;837;4726;1741;812;785;388;449;434;374;771;171;229;236;47;78;62;76;302;165;21;82;42;75;44;40;67;48;81;38;6;10;6;7;8;3;41;;118;;190;;2499;;71;;31;;85;;34;;269;;86;;;928;
07232;Eifelkreis Bitburg-Prüm;07;72898;72189;50891;50043;665;1222;50226;48821;15864;18773;2694;6823;6622;10433;5326;3355;;;480;1252;2159;2872;661;642;11736;1767;551;714;310;284;236;318;602;164;133;195;42;51;30;62;188;135;16;83;9;12;71;43;52;39;62;47;8;8;0;7;3;10;25;;97;;140;;1721;;33;;19;;53;;41;;183;;59;;;732;
07233;Vulkaneifel;07;46807;47996;32942;30759;444;673;32498;30086;13057;12511;1885;3897;4885;5869;4145;2180;;;388;862;1671;1895;506;453;2393;658;445;431;271;185;237;185;341;108;117;128;15;32;20;36;163;92;12;47;8;8;48;18;37;20;46;27;0;6;2;3;3;2;32;;65;;125;;1290;;16;;15;;54;;37;;126;;43;;;433;
07235;Trier-Saarburg;07;114144;112648;81159;79057;1157;1456;80002;77601;25493;26435;6051;11493;17525;20642;8778;5364;;;1127;2158;4436;3493;1296;1168;5692;2566;1136;1019;267;277;618;410;1507;252;355;345;89;98;47;112;368;186;28;110;29;31;79;56;113;80;100;69;33;27;11;9;10;6;37;;119;;279;;3560;;88;;54;;111;;51;;416;;99;;;1195;
07311;Frankenthal (Pfalz), kreisfreie Stadt;07;32597;33348;19798;19034;248;339;19550;18695;5303;5987;1386;2862;3075;3656;3860;2532;;;292;660;947;990;261;317;1901;458;259;252;52;59;112;128;297;88;84;112;45;27;11;35;87;47;3;19;19;53;67;57;35;26;30;9;5;4;3;5;0;2;7;;13;;81;;1051;;119;;10;;30;;11;;78;;16;;;310;
07312;Kaiserslautern, kreisfreie Stadt;07;68452;71365;39101;38987;416;556;38685;38431;8474;8614;4348;7567;6869;8256;7231;4622;;;908;1671;1970;2148;815;1420;1821;896;676;637;157;206;192;228;1110;334;230;408;119;132;21;77;187;124;23;71;25;27;90;64;121;129;52;35;8;12;9;7;6;8;22;;55;;211;;2417;;75;;44;;95;;25;;224;;55;;;738;
07313;Landau in der Pfalz, kreisfreie Stadt;07;36947;36257;25231;24124;222;268;25009;23856;6116;6078;4308;6626;4112;4126;2797;1881;;;737;993;1343;1098;565;790;761;537;404;355;141;143;120;125;1250;192;129;120;113;94;14;31;110;59;7;35;15;16;60;56;65;52;40;36;13;18;3;5;3;1;11;;52;;94;;1178;;48;;71;;79;;29;;174;;47;;;389;
07314;Ludwigshafen am Rhein, kreisfreie Stadt;07;101076;102451;56789;55399;858;1145;55931;54254;13452;12921;4680;8989;10538;12702;11159;7684;;;1251;2151;2730;2730;971;1212;1567;1176;877;868;171;208;368;314;1252;322;356;446;219;134;72;158;316;131;32;80;360;597;75;92;114;86;79;63;15;12;30;34;8;24;36;;83;;262;;3402;;852;;84;;93;;36;;314;;77;;;1120;
07315;Mainz, kreisfreie Stadt;07;152815;150251;105584;102415;731;898;104853;101517;23026;23371;22638;29557;17088;18047;6521;5966;;;4988;4528;7274;5429;2362;3993;1942;1061;1190;995;1651;2019;281;273;7691;1924;549;1072;591;645;27;48;284;134;30;89;185;485;97;94;371;365;90;59;49;44;30;35;8;8;29;;106;;283;;3258;;621;;248;;472;;53;;606;;214;;;1276;
07316;Neustadt an der Weinstraße, kreisfreie Stadt;07;40738;40621;28064;26537;288;318;27776;26219;7740;7822;3723;5350;4207;4433;4226;2611;;;373;665;1766;1555;435;536;1689;1509;360;269;131;159;141;141;637;193;104;147;43;60;21;38;118;67;13;31;9;14;65;85;46;35;33;23;11;9;6;2;5;3;13;;45;;108;;1321;;94;;23;;77;;17;;138;;38;;;462;
07317;Pirmasens, kreisfreie Stadt;07;30352;30963;16906;15433;322;375;16584;15058;5013;4945;724;1414;2575;3352;4194;2245;;;192;517;781;779;268;403;398;293;470;279;32;46;100;84;143;29;93;94;18;15;34;119;140;51;4;31;7;5;22;19;21;21;25;11;1;1;4;3;0;4;13;;16;;67;;1099;;5;;8;;17;;12;;69;;19;;;298;
07318;Speyer, kreisfreie Stadt;07;36378;36237;23340;21948;277;274;23063;21674;5976;5842;3034;4784;4046;4532;3807;2278;;;477;802;1375;1039;415;516;524;312;358;326;138;130;138;113;581;162;106;109;61;57;14;22;120;55;7;33;8;12;74;69;52;34;30;16;7;5;5;3;2;;12;;36;;93;;1242;;46;;29;;64;;17;;135;;34;;;423;
07319;Worms, kreisfreie Stadt;07;58057;58080;35158;32205;532;544;34626;31661;9138;8878;2890;5302;6420;7316;7134;3942;;;636;890;1891;1611;584;681;861;767;535;507;140;140;278;183;774;198;208;188;114;69;36;63;203;84;19;53;31;41;27;42;58;55;57;36;7;8;4;6;5;1;21;;53;;176;;1721;;231;;26;;58;;24;;221;;45;;;600;
07320;Zweibrücken, kreisfreie Stadt;07;26029;25997;15453;13706;224;230;15229;13476;3950;3599;1070;1864;2977;3533;3142;1583;;;243;541;745;627;294;327;450;368;336;259;75;80;118;85;173;70;61;97;22;20;14;35;117;47;5;20;9;3;26;10;28;22;38;7;3;3;3;1;1;2;5;;15;;61;;1062;;16;;9;;22;;7;;96;;36;;;273;
07331;Alzey-Worms;07;100294;98159;70207;66606;1144;1238;69063;65368;18435;17458;5712;9925;13418;15784;12300;8168;;;1150;1679;4416;4101;1091;1112;3112;2114;1062;1069;380;399;596;484;1453;303;287;416;116;135;70;190;378;234;37;136;48;60;127;133;114;84;113;46;13;16;11;13;9;4;61;;110;;289;;3218;;173;;49;;110;;63;;410;;132;;;1305;
07332;Bad Dürkheim;07;105723;104795;75107;73282;982;1087;74125;72195;22402;21501;7091;11909;12773;14734;11642;8223;;;852;1755;5039;4598;1045;1174;3814;3102;1134;1104;267;310;451;460;1248;582;312;368;107;125;57;143;428;236;36;126;62;88;126;153;129;110;87;60;10;9;7;10;3;3;43;;172;;292;;3645;;141;;71;;128;;67;;366;;78;;;1312;
07333;Donnersbergkreis;07;59316;58275;40603;38700;609;755;39994;37945;10374;9733;2784;4925;7839;9652;7645;4742;;;570;1148;2038;2183;578;608;2514;1833;794;730;140;181;374;314;477;126;150;258;55;54;58;150;287;135;22;67;33;54;85;68;67;47;54;47;3;2;11;3;7;4;24;;79;;158;;2211;;152;;33;;78;;42;;197;;61;;;881;
07334;Germersheim;07;95639;94398;64408;62054;883;1065;63525;60989;20258;19420;4843;8534;9597;11665;12147;8686;;;766;1532;3599;3632;1018;1160;2846;1932;976;1040;283;361;412;400;944;258;273;320;123;109;59;142;346;187;29;116;60;129;95;79;89;90;92;72;11;13;9;18;6;2;70;;110;;224;;3233;;408;;75;;91;;58;;306;;69;;;1092;
07335;Kaiserslautern;07;80889;81200;55630;54712;808;1293;54822;53419;15862;16430;3308;6370;9401;12224;10926;6906;;;669;1659;2432;2379;767;904;3744;2654;938;1046;178;176;375;400;636;191;232;319;60;35;46;160;353;175;22;107;23;13;131;113;71;62;85;55;7;6;3;6;8;4;37;;99;;236;;3652;;55;;36;;67;;41;;254;;68;;;1025;
07336;Kusel;07;55956;56613;38959;37705;838;958;38121;36747;9442;9392;1922;4082;8144;10245;7760;4989;;;485;1287;1595;1606;576;670;2647;1789;759;731;101;120;375;331;340;111;160;187;23;20;44;134;254;128;27;64;14;6;40;46;37;37;70;30;13;7;9;9;2;6;29;;58;;155;;2692;;30;;20;;45;;34;;177;;42;;;720;
07337;Südliche Weinstraße;07;88392;87144;63007;62279;765;1194;62242;61085;20351;20583;5826;10081;10103;11558;9277;6541;;;719;1473;3456;3370;941;999;3439;2341;1081;934;289;272;453;395;1158;274;234;277;65;112;46;114;333;212;27;97;19;15;94;96;86;78;107;53;16;21;11;9;1;6;43;;134;;223;;2926;;68;;79;;148;;44;;338;;107;;;1174;
07338;Rhein-Pfalz-Kreis;07;116811;117009;83023;80643;979;1142;82044;79501;25333;24852;7368;13142;14134;16039;13862;9531;;;991;1896;5103;4847;1219;1405;3448;2165;1255;1210;331;350;560;528;1352;385;366;432;133;151;71;164;447;254;30;133;64;107;159;156;153;106;114;64;15;18;21;16;6;4;53;;133;;387;;3793;;253;;83;;133;;62;;512;;100;;;1546;
07339;Mainz-Bingen;07;163187;158871;114263;112369;1474;1497;112789;110872;32881;32383;14580;22666;20750;23496;12424;9302;;;2167;3258;8186;6796;1952;2390;4312;2588;1682;1601;966;1202;656;609;3861;774;494;753;179;285;78;118;509;299;47;133;92;115;141;128;257;190;139;88;19;21;15;18;10;12;53;;233;;424;;4115;;317;;102;;202;;79;;693;;174;;;1647;
07340;Südwestpfalz;07;78018;78708;56768;55974;941;1495;55827;54479;19056;19172;2736;5385;8924;11215;10370;6785;;;564;1359;2921;3202;811;1042;2615;2027;1323;1062;182;217;533;495;454;162;265;311;42;72;58;202;414;251;31;117;18;8;103;86;82;36;103;62;10;10;5;15;9;3;56;;84;;204;;3308;;24;;34;;70;;55;;290;;73;;;1183;
07;Rheinland-Pfalz;99;3083330;3072765;2055747;1992205;26357;33810;2029390;1958395;622841;613470;188037;327704;354902;417183;297636;192851;;;35436;59835;119787;114371;34362;40214;104995;56239;30907;29415;10575;11848;13574;11972;43980;10842;8945;11627;3794;4111;1542;3535;10122;5466;855;2801;1635;2588;3631;3168;3555;2874;2843;1640;476;479;338;363;216;207;1225;;3670;;7627;;95552;;5563;;1819;;3811;;1525;;10830;;2784;;;33592;
;
08111;Stuttgart, Stadtkreis;08;373589;380985;250864;255470;1249;2172;249615;253298;61915;60371;55613;71920;30085;34244;21835;18876;;;8966;12906;20667;20739;5653;8190;5533;5623;2433;2561;1973;2749;444;588;12003;2915;1553;2799;1156;1795;97;188;687;417;86;174;312;1050;473;527;734;534;237;180;111;122;270;286;24;44;75;;385;;738;;10272;;1782;;757;;862;;166;;1362;;356;;;3500;
08115;Böblingen;08;265411;262708;180114;173851;1905;2542;178209;171309;58082;53646;24716;37295;20726;22184;24163;17562;;;2632;4509;14573;13519;2575;3082;8976;7806;1615;1666;1316;1774;626;718;3466;881;885;1243;421;526;115;251;554;304;54;185;182;363;968;793;346;280;193;136;20;30;87;123;13;25;90;;308;;724;;6785;;1277;;114;;289;;124;;978;;216;;;2408;
08116;Esslingen;08;368951;365828;251376;242055;2694;3565;248682;238490;79626;71185;36292;55218;29640;32659;32499;22958;;;4434;7093;18224;17211;4087;4514;12629;11074;2448;2693;1792;2422;983;975;5164;1288;1232;1692;582;839;152;281;939;560;91;269;179;450;1080;839;463;348;286;154;53;42;138;160;25;18;131;;601;;1007;;10123;;1248;;225;;545;;145;;1327;;292;;;3548;
08117;Göppingen;08;179342;178436;116911;111874;1716;2128;115195;109746;39643;33437;11244;22399;13330;15274;20973;13732;;;1576;2678;6862;7617;1607;1842;6049;5092;1285;1428;877;935;491;510;1260;392;607;823;192;227;79;187;476;315;37;134;146;322;298;275;162;105;189;74;20;23;52;49;16;7;85;;334;;485;;5157;;665;;57;;168;;74;;577;;122;;;1869;
08118;Ludwigsburg;08;368309;365970;254357;244616;2828;3596;251529;241020;80136;71214;35061;54317;30312;33204;35035;23909;;;4482;7379;17865;17510;3826;4676;11938;11186;2545;2742;2170;3046;896;1053;5787;1215;1283;1623;556;656;144;314;1028;521;87;260;329;1020;963;887;430;303;273;157;39;42;101;133;25;28;113;;777;;981;;10167;;1735;;187;;462;;144;;1313;;339;;;3625;
08119;Rems-Murr-Kreis;08;300971;297477;201182;193131;2477;2913;198705;190218;64261;57809;24504;37425;22962;25739;31578;21895;;;3110;5405;14946;15925;3013;3516;8667;7258;2197;2445;1715;2654;838;952;3164;903;1513;1519;365;584;169;322;816;491;72;260;105;451;1108;911;333;218;272;145;47;40;81;93;16;15;113;;520;;868;;8604;;766;;153;;318;;134;;1086;;291;;;3243;
08121;Heilbronn, Stadtkreis;08;76502;77185;43970;42835;421;636;43549;42199;12047;11262;5164;8676;5790;6926;7997;5495;;;1035;1643;3225;3320;924;911;928;1024;506;378;290;415;133;136;1105;252;167;256;121;111;21;82;176;70;21;52;171;318;92;85;106;45;49;29;12;14;61;56;6;5;33;;117;;159;;2231;;434;;37;;88;;25;;215;;63;;;638;
08125;Heilbronn;08;247509;242435;165953;155172;2383;3401;163570;151771;52979;46334;15621;28157;19098;21795;31708;19561;;;2071;3863;11180;11632;2621;2558;6992;5561;1976;1863;1681;2321;832;887;2744;703;667;885;205;237;164;487;734;462;67;232;308;462;784;655;249;213;219;117;23;32;36;60;17;11;114;;493;;791;;7115;;652;;68;;184;;126;;846;;205;;;2683;
08126;Hohenlohekreis;08;83968;82480;56539;51822;763;857;55776;50965;19177;17051;5325;9913;5915;6562;10660;6074;;;745;1261;3995;4274;831;741;2239;1405;585;576;315;457;312;362;824;173;219;296;47;93;58;180;270;132;30;78;31;25;287;266;94;79;87;43;4;11;12;16;5;4;40;;168;;255;;2644;;71;;19;;80;;47;;308;;77;;;893;
08127;Schwäbisch Hall;08;145368;143275;94186;86854;1169;1594;93017;85260;29977;26184;10143;18248;10817;11966;16595;9753;;;1510;2472;6463;6406;1651;1448;3219;1863;925;931;985;1723;502;525;1367;366;396;492;151;145;100;190;384;176;46;133;40;79;508;412;122;98;123;78;20;17;29;48;5;9;57;;659;;379;;4797;;180;;61;;186;;66;;435;;119;;;1498;
08128;Main-Tauber-Kreis;08;102120;101414;70243;67155;1091;1544;69152;65611;28010;26034;6026;11369;7610;8635;10660;7056;;;831;1554;3705;3486;959;970;3175;1840;740;680;634;1035;440;454;848;242;263;358;70;98;58;139;312;173;39;98;36;37;168;131;115;63;98;47;7;7;9;8;6;7;61;;225;;249;;2994;;136;;41;;107;;62;;361;;97;;;1090;
08135;Heidenheim;08;93652;93726;57862;54670;838;1144;57024;53526;18401;18605;5651;10740;7604;8335;10545;5471;;;840;1570;2977;2477;880;865;2563;1676;571;572;617;740;266;300;592;204;287;321;84;95;71;101;247;123;24;58;35;39;205;160;111;57;80;34;50;61;21;27;9;5;37;;211;;381;;2913;;253;;39;;75;;34;;284;;66;;;890;
08136;Ostalbkreis;08;235154;231322;155590;145645;2041;3025;153549;142620;58979;54654;15721;28068;17486;18996;24893;14234;;;2389;4063;8566;7742;2374;2289;5663;3939;1459;1545;760;878;708;749;2165;581;636;851;187;243;163;241;541;324;57;151;72;212;412;310;258;152;203;84;13;23;42;68;14;12;102;;377;;549;;6677;;733;;77;;240;;118;;730;;185;;;2211;
